연월,공급업체명,공급업체유형,계약내역,계약유형
2023-12,일메테크(주),중소기업,"제3,6호기 IDF 고압전동기 고정자 재권선 반출정비,C23P-공(2)55-00",공사
2023-12,어송환경산업주식회사,중소기업,2023년 사택 영선공사,공사
2023-12,렝크코리아 주식회사,중소기업,제주복합 GT LOAD GEAR 예비품 구매,구매
2023-03,다올페이퍼,중소기업,신보령 1호기 계획예방정비공사 보일러 일반자재(273품목) 구매,구매
2023-06,(주)한국코팅,중소기업,"보령발전본부 보일러 튜브 내침식 코팅제 단가계약 구매(5월말, 한국코팅)",구매
2023-12,(주)제이엠모터스펌프,중소기업,"제1부두 CSU-01A,B TWO-WAY CHUTE 교체공사/23-(공)기술39",공사
2023-09,(주)거산지엔에스,중소기업,"2022년도 보령발전본부 소방 및 위험물 시설관리 위탁용역,C22P-용(경)07-00",용역
2023-12,주식회사 동영플랜트,중소기업,인천발전본부 DH 열공급설비 개선공사,공사
2023-12,(주)진주고려병원산업보건센터,중소기업,2023년 작업환경측정 위탁용역,용역
2023-11,보성엔지니어링,중소기업,"내연 주기기 실린더 라이너 및 PUMP BARREL, COMPLETE 구",구매
2023-03,(주)금강토건,중소기업,보령발전본부 SLP취수로 교량 조성공사,공사
2023-06,(주)인젠트,중소기업,문서중앙화시스템(K드라이브) 업그레이드,용역
2023-12,프라임방재(주),중소기업,2023년도 보령발전본부 소방·위험물 및 구급 위탁용역,용역
2023-06,한울 주식회사,중소기업,KOMIPO SAFETY MONITORING SYSTEM 구축 용역,용역
2023-05,(주)현우이앤에스,중소기업,기성고 지불요청(복합 코팅),공사
2023-11,프라임방재(주),중소기업,2023년도 보령발전본부 소방·위험물 및 구급 위탁용역,용역
2023-02,주식회사 동원에이에이취이,중소기업,제주발전본부 기력 2호기 공기예열기(GAH) 열소자 구매(설치조건부),구매
2023-10,한울 주식회사,중소기업,KOMIPO SAFETY MONITORING SYSTEM 구축 용역,용역
2023-12,(주)케이씨피,중소기업,"신보령 복합식(습, 건식) 진공흡입차 25톤급 구매",구매
2023-01,(주)비에스컴퍼니,중소기업,보령복합발전소 소방설비 최적개선공사 일반자재 구매,구매
